City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Puerto Quijarro,BO,2022-05-10 23:34:39,-17.7833,-57.7667,79.23,43,78,3.38
274,Leningradskiy,RU,2022-05-10 23:34:40,69.3833,178.4167,34.79,95,68,5.35
275,Urumqi,CN,2022-05-10 23:34:40,43.801,87.6005,61.75,29,87,4.47
276,Yerkoy,TR,2022-05-10 23:34:41,39.6381,34.4672,47.37,69,2,2.06
277,Beringovskiy,RU,2022-05-10 23:34:41,63.05,179.3167,38.26,89,91,8.95
278,Makurdi,NG,2022-05-10 23:34:42,7.7411,8.5121,78.04,83,88,3.36
279,Labuan,MY,2022-05-10 23:30:10,5.2767,115.2417,80.96,94,20,0.0
280,Hami,CN,2022-05-10 23:34:43,42.8,93.45,65.43,9,80,6.46
281,Tucuman,AR,2022-05-10 23:34:37,-26.8241,-65.2226,69.8,64,75,3.44
282,Maragheh,IR,2022-05-10 23:34:44,37.3917,46.2398,47.8,78,16,2.35
283,Rio Grande,BR,2022-05-10 23:34:44,-32.035,-52.0986,62.71,90,100,4.36
284,Okato,NZ,2022-05-10 23:34:45,-39.2,173.8833,57.9,60,0,8.41
285,Khandyga,RU,2022-05-10 23:34:46,62.6667,135.6,28.29,89,98,3.8
286,Inirida,CO,2022-05-10 23:34:46,3.8653,-67.9239,75.54,96,66,2.75
287,Bengkulu,ID,2022-05-10 23:34:47,-3.8004,102.2655,77.76,85,100,3.89
288,Half Moon Bay,US,2022-05-10 23:34:47,37.4636,-122.4286,63.03,55,0,24.16
289,Barcelos,PT,2022-05-10 23:34:48,41.5388,-8.6151,60.91,83,25,3.69
290,Axim,GH,2022-05-10 23:34:48,4.8699,-2.2405,80.53,85,100,7.83
291,Sargatskoye,RU,2022-05-10 23:34:49,55.6101,73.4972,51.85,33,100,14.07
292,Krasnovka,RU,2022-05-10 23:34:49,48.8177,40.0923,36.57,87,64,9.4
293,Safaga,EG,2022-05-10 23:34:50,26.7292,33.9365,77.43,37,0,6.87
294,Aksha,RU,2022-05-10 23:34:51,50.2814,113.2867,35.19,53,100,13.09
295,Ladario,BR,2022-05-10 23:34:51,-19.0047,-57.6017,78.28,58,69,7.34
