City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
523,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
524,Beidao,CN,77.67,few clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
528,Papillion,US,81.25,clear sky,41.1544,-96.0422,lalithya constructions the lake shore
532,Puerto Escondido,MX,83.07,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
537,Kokopo,PG,85.44,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
540,Faya,SA,75.72,clear sky,18.3851,42.4509,املاك خالد الشعشوع
541,Boyolangu,ID,87.48,overcast clouds,-8.1181,111.8935,Yos ega cv
547,Edd,ER,86.61,clear sky,13.9297,41.6925,
549,Beihai,CN,81.75,moderate rain,21.4833,109.1,21 Degree Hostel
553,Linqiong,CN,78.62,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
561,La Asuncion,VE,78.53,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
575,Yaan,NG,75.56,light rain,7.3833,8.5667,
577,Namatanai,PG,84.52,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
588,Yilan,TW,89.46,light rain,24.757,121.753,Dar Chen Hotel
590,Srandakan,ID,86.54,overcast clouds,-7.9386,110.2506,Puri Brata
591,Hervey Bay,AU,77.02,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
592,Eydhafushi,MV,83.41,broken clouds,5.1033,73.0708,Soneva Fushi
593,Pangai,TO,77.11,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
595,Grand Gaube,MU,79.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
601,Jining,CN,75.76,broken clouds,35.405,116.5814,Yunhe Star Hotel
605,Aitape,PG,86.13,light rain,-3.1374,142.3475,
613,Banjar,ID,86.74,overcast clouds,-8.19,114.9675,The Hamsa Resort
618,Galesong,ID,89.62,broken clouds,-5.3166,119.3661,Sapriadi Appy
620,Barra Patuca,HN,77.02,clear sky,15.8,-84.2833,
625,Bandarbeyla,SO,85.68,overcast clouds,9.4942,50.8122,JABIR HOTEL
629,Dickinson,US,77.13,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
634,Palmeirais,BR,75.72,overcast clouds,-5.9778,-43.0633,Pousada LS
636,Nishihara,JP,84.25,broken clouds,26.1842,127.7558,Minshuku Agaihama
637,Kibala,TD,82.35,thunderstorm,9.1104,18.3463,hotel safari
643,Bayji,IQ,79.21,few clouds,34.9311,43.487,مروان /عدنان
644,Axim,GH,79.34,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
650,Honiara,SB,84.7,overcast clouds,-9.4333,159.95,Heritage Park Hotel
653,Pizarro,CO,77.38,light rain,4.9533,-77.366,Hotel Limonar
659,Mogadishu,SO,85.87,few clouds,2.0371,45.3438,Hotel Juba
660,Sibolga,ID,84.81,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
663,Alappuzha,IN,84.51,overcast clouds,9.49,76.3264,Panoramic Sea Resort
664,Thinadhoo,MV,83.21,overcast clouds,0.5333,72.9333,
666,Maumere,ID,84.81,broken clouds,-8.6199,122.2111,Sylvia Hotel
676,Beatrice,US,78.89,clear sky,40.2681,-96.747,Victorian Inn Beatrice
679,Jamame,SO,83.62,clear sky,0.0722,42.7506,
684,Clarksville,US,75.45,haze,36.5298,-87.3595,Riverview Inn
687,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
688,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
